CATEGORIA,PREGUNTA,RESPOSTA,DATA
Ciència,"Quina marca d'un producte, que molta gent utilitza de forma freqüent en la seua rutina d'higiene personal, conté en el seu nom el cognom d'un cirurgià britànic que va ser el descobridor dels antisèptics en 1865?",Listerine (Joseph Lister),28/02/2023
Cine i música,Ordeneu aquestes sèries per número d'episodis,The Big Bang Theory (279) - Friends (236+1 especial) - HIMYM (208) - La que se avecina (178),28/02/2023
Esports,"Digueu cinc ciutats d'EUA que tinguen un equip que haja guanyat la NBA, la NHL i Superbowl","Dallas, New York, Washington, Los Angeles, Philadelphia, Chicago, St. Louis",28/02/2023
Geografia,Relacioneu la denominació antiga amb la denominació actual d'aquests estats sobirans africans,"Rhodèsia del Nord - Zambia, Rhodèsia del Sud - Zimbabue, Nyasalandia - Malaui, Alt Volta - Burkina Faso",28/02/2023
Geografia,"Quina capital d'estat sobirà europeu va ser coneguda amb el nom de Reval fins l'any 1918, quan aquest estat va a conseguir la seua independència?",Tallin,28/02/2023
Miscelània,"Quina marca, fundada el 1910 a partir de la Fàbrica d'Automòbils Anonima Lombarda, te en el seu logo el símbol de la ciutat on va ser creada i l'animal que representa la familia Visconti?",Alfa Romeo,28/02/2023
Temes valencians,El castell de quina localitat de la província de València va ser cedit pel rei Jaume II d'Aragó a principis del segle XIV per a dotar a una nova ordre religiosa i militar que s'acabava de fundar per defensar la frontera del Regne de València amb el sarraïns?,Montesa,28/02/2023
Ciència,Relacioneu el nom d'aquestes fòbies amb la seua causa,"Selacofobia - Taurons, Ailurofobia - Gats, Cinofobia - Gossos, Musofobia - Ratolins",7/03/2023
Ciència,"Quin vocable, que designa una família de plantes monocotiledònies, va ser emprat per primera vegada per Teofrast a finals del segle IV a.C en referència a la forma dels tubèrculs dobles de les espècies d'un dels seus gèneres que són similars als testicles humans?",Orquídea,7/03/2023
Art i literatura,"Quina ciutat d'uns 350.000 habitants, l'onzena més poblada del seu país, dona nom a un llibre que compila textos i dibuixos realitzats per Leonardo da Vinci entre 1508 i 1510 i que va ser adquirit el 1994 per Bill Gates per un preu superior als 30 milions de dòlars?",Leicester,7/03/2023
Esports,"Quin equip de futbol europeu, fundat el 1946 després de la fusió d'un equip del barri de Sampierdarena i d'un altre club de la mateixa ciutat, té un escut que representa un mariner i que és un dels pocs exemples al món d'escut on apareix el consum de tabac?",Sampdoria,7/03/2023
Geografia,"Quina ciutat europea, el topònim de la qual és d'origen llatí prestat del grec, alberga la universitat més antiga del seu país i va acollir al llarg de la història a personatges com Erasmo de Rotterdam, Hans Holbein, Friedrich Nietzsche, Hermann Hesse o Karl Jaspers?",Basilea,7/03/2023
Història,"Quina etnia, el nom de la qual etimològicament significa «gent de l'est», va començar a ser més coneguda a Occident a partir d'una fita històrica ocorreguda el 29 de maig de 1953?",Sherpa,7/03/2023
Miscelània,"El nom de quin tipus d'embarcació, que en el Vocabulario andaluz d'Antonio Alcalá Venceslada es defineix com un xicotet vaixell dissenyat per a perseguir cert tipus d'animals, s'utilitza habitualment de forma inexacta incloent-hi altres embarcacions que no responen a la mateixa definició però s'utilitzen amb una finalitat similar?",Patera,7/03/2023
Temes valencians,"Quina popular cançó, publicada l'any 1963, va ser composada pel seu autor després de fer un viatge en Vespa des de Xàtiva cap a València?",Al vent (Raimon),7/03/2023
Ciència,"Quin concepte, encunyat pel biòleg Richard Dawkins, i que ha passat a la cultura popular, es defineix per característiques com fecunditat, longevitat i fidelitat en la replicació?",Meme,14/03/2023
Ciència,"Quin efecte, d'especial rellevància en les últimes dècades, va ser descobert en 1856 per la científica nord-americana Eunice Foote utilitzant una bomba d'aire, quatre termòmetres i dos cilindres de vidre, tot i que el seu descobriment va ser atribuït a John Tyndall per una investigació similar realitzada tres anys després?","Efecte hivernacle (calfament global, la presència de CO2 calfa l'atmòsfera)",14/03/2023
Cine i música,"Ordeneu, de nord a sud, les seguents regions de Ponent segons la saga literària Canción de hielo y fuego",Invernalia - El Nido de Águilas - Aguasdulces - Desembarco del Rey - Altojardín,14/03/2023
Esports,Quina és l'única selecció masculina que ha guanyat l'Eurocopa de futbol amb un entrenador no nascut a eixe país?,Grècia 2004 (Otto Rehhagel),14/03/2023
Geografia,"Digueu cinc illes marines que estiguen travessades per almenys una frontera internacional, és a dir, que el seu territori pertanya a dos o més estats sobirans diferents","Nova Guinea, Borneo, Irlanda, La Española, Grande de Tierra del Fuego, Timor, Chipre, Sebatik, Usedom, San Martín, Kataja, Calzada del rey Fahd, Märket, Koiluoto",14/03/2023
Història,"Amb quina denominació es coneix de forma genèrica als esclaus guerrers que serviren com a soldats per a diferents califes abbàssides en l'edat mitjana, i també per a un important exèrcit europeu en l'edat contemporània, com es mostra en una important obra d'art realitzada el 1814?",Mameluc,14/03/2023
Miscelània,"Segons Hesíode, com s'anomena la musa de la comèdia i la poesia bucòlica, filla de Zeus i Mnemòsine, nom que comparteix amb una cantant nascuda el 1971 que ha aconseguit vendre més de 25 milions de discos?",Talía,14/03/2023
Temes valencians,Relaciona aquestes creus cobertes amb la seua ubicació,"Almàssera, Sant Vicent, Mislata",14/03/2023
Ciència,Relacioneu el dèficit d'aquestes vitamines amb algunes de les malalties que pot provocar,"A - Ceguera, B - Anèmia, C - Escorbuto, D - Raquitisme",21/03/2023
Ciència,"Com s'anomena el compost químic inert, el nom del qual és la primera persona del singular del futur d'indicatiu d'un verb en llatí, i que també va servir per a batejar un grup musical britànic fundat el 1994 i el seu primer disc d'estudi publicat el 1996?",Placebo,21/03/2023
Art i literatura,"Digueu cinc museus que estiguen entre els deu primers del món per número de visitants, segons dades de 2019","Louvre, Museu Nacional de Xina, Museus Vaticans, Metropolitan, British Museum, Tate Modern, National Gallery, Museu d'Història Natural (Londres), Hermitage, American Museum of Natural History",21/03/2023
Esports,"Ordena, de més lleuger a més pesat, aquestes categories de boxa",Palla - Mosca - Gall - Ploma,21/03/2023
Geografia,"Quin projecte educatiu i cultural, iniciat el 1979 i finalitzat el 2016 després de la mort del seu fundador, en el qual participaren més de 10.000 joves, va prendre el seu nom a partir d'un gènere d'aus de la família Trogonidae, que eren sagrades en algunes civilitzacions fins al segle XVI?",Ruta Quetzal,21/03/2023
Història,"Quin personatge històric va nàixer el 1452 a la localitat aragonesa de Sos, motiu pel qual es va afegir al topònim el nom pel qual aquest personatge va passar a la història?",Ferran el Catòlic,21/03/2023
Miscelània,"Amb quin nom, que habitualment s'utilitza de forma inadequada per designar a l'arxienemic d'algú, es coneixia a la deesa grega de la justícia retributiva, la solidaritat, la vengança, l'equilibri i la fortuna?",Némesis,21/03/2023
Temes valencians,"Quina comarca del País Valencià, d'uns 14.000 habitants i la comarca amb menys municipis de la seua província, té un nom que prové de l'àrab i significa «els dos castells»",Alcalaten,21/03/2023
Ciència,Classifiqueu aquestes disciplines segons pertanyen al Trivium (divisió inferior) o Quadrivium (divisió superior) de les arts liberals clàssiques adoptades en l'epoca medieval,"Trivium - Gramàtica, Lògica, Retòrica; Quadrivium - Aritmètica, Geometria, Música, Astronomia",28/03/2023
Cine i música,Relacioneu aquests instruments musicals de corda amb la seua imatge,"Charango, Buzuki, Balalaika, Mandolina",28/03/2023
Esports,"Quin esport d'hivern, que es disputa en una pista de 45,5 metres de llargària i 4,75 metres d'amplària, té el seu origen a Escòcia durant l'edat mitjana, però és un dels esports més populars al Canadà, que encapçala el medaller històric als campionats mundials tant en categoria masculina com femenina?",Curling,28/03/2023
Geografia,"Quines illes d'origen volcànic, el nom de les quals es deu a un animal que apareix al seu escut, tenen un estatus únic en el mon perquè es consideren un país dins d'un altre estat sobirà, desprès de rebre la seua autonomia el 1948?",Illes Fèroe,28/03/2023
Ciència,"Quin tipus de formatge, elaborat a partir de llet de vaca, ovella o cabra sense pasteuritzar, i de la denominació d'origen del qual pertanyen localitats com Arenas, Berodia, Bulnes o Tielve, té el rècord Guinness del formatge més car venut en subhasta, arribant als 25.000 € en l'any 2020?",Cabrales,28/03/2023
Història,"Quin municipi madrileny, hui desaparegut però que donà nom a un dels districtes de la capital, va ser repoblat al segle XI per vascons i navarresos, de forma que part del seu nom actual podria ser una deformació de la paraula «casa» o «pare» en eixa llengua?",Chamartín,28/03/2023
Miscelània,"Quina illa, que va ser «descoberta» per Klaus Teuber el 1995, és coneguda per la seua abundància de recursos naturals com blat, minerals, argila, llana o fusta?",Catan,28/03/2023
Temes valencians,"Amb quin nom és més coneguda la Piccola Casa della Divina Provvidenza, institució que acull persones amb discapacitat física i mental creada a Torí el 1828 i que compta des de 1958 amb una seu al barri de Benimaclet?",Cottolengo,28/03/2023
Ciència,"En quina vall del riu Düssel, afluent del Rin, el professor Johann Karl Fuhlrott va fer una important troballa d'unes restes que es dataren amb una antiguitat de 40.000 anys?",Neander,4/04/2023
Ciència,"Quina estructura anatòmica de l'ésser humà, d'entre 3,5 i 4 cm de llargària, va ser descrita per primera vegada l'any 1543 per un metge italià, però va rebre el nom amb el qual la coneixem hui en dia gràcies a Antonio Valsalva, que l'anomenà en honor del seu descobridor?",Trompa d'Eustaqui,4/04/2023
Cine i música,"Quines criatures mitològiques, que protagonitzen un llibre de Roald Dahl de 1943 i una pel·lícula dels anys 1980, eren conegudes popularment per la seua capacitat de sabotejar tota mena de maquinària i foren emprades com a mascota per la RAF en les seues missions sobre territori alemany en la II Guerra Mundial?",Gremlins,4/04/2023
Esports,Digueu el nom de tres tenistes davant els quals haja guanyat Rafa Nadal la final de Roland Garros,"Mariano Puerta, Roger Federer (4), Robin Söderling, Novak Djokovic (3), David Ferrer, Stanislas Wawrinka, Dominic Thiem (2), Casper Ruud",4/04/2023
Geografia,Ordeneu aquests estats sobirans europeus pel nombre d'entitats territorials que els conformen,Itàlia (20) - França (18) - Alemanya (16) - Països Baixos (12),4/04/2023
Història,"Quin moviment religiós cristià de caràcter gnòstic, d'especial arrelament al segle XII en la zona del Llenguadoc, administrava com a únic sacrament el consolamentum, una espècie de baptisme, comunió i extremunció conjuntes?",Càtars,4/04/2023
Miscelània,"Quin esdeveniment, que va ser creat el 1954 per una princesa consort d'un estat sobirà europeu, se celebra anualment al mes de març amb una temàtica diferent, que en el cas de 2023 ha sigut «Bollywood»?",El Ball de la Rosa de Mónaco,4/04/2023
Temes valencians,"A quina persona, nascuda el 1906, està dedicat el museu situat a la seua casa natal, en el número 23 del carrer de Ruaya, en el barri de la Saïdia de València?",Concha Piquer,4/04/2023
Ciència,"Ordena, de dalt a baix, aquestes vèrtebres o grups de vèrtebres de l'esquelet humà",Atlas - Axis - Lumbar - Sacra,11/04/2023
Ciència,"Què s'emmagatzema a un dipòsit de més de mil metres quadrats situat en l'arxipèlag noruec de Svalbard, conegut popularment com «la càmera de la fi del món»?",Llavors,11/04/2023
Cine i música,Quin popular terme relacionat amb la música podria tenir el seu origen en un esdeveniment familiar que va tenir lloc en un país americà que havia sigut envaït per l'exèrcit francès a mitjans del segle XIX?,Mariachi,11/04/2023
Esports,"Quin emblemàtic edifici de la ciutat més poblada d'una comunitat autònoma de l'estat espanyol rep el seu nom d'un topònim que indica, en la llengua pròpia d'aquell territori, que en el lloc on es va construir, l'any 1928, abundaven els avellaners?","Balaídos (Abeladíos, de abeleiras)",11/04/2023
Història,"Quin era el cognom del miner que, en 1935, va aconseguir extraure una mitjana de tones de carbó 14 vegades superior a la dels seus companys, motiu pel qual el seu país el va escollir com a model per al resta de treballadors?",Alekséi Stajánov,11/04/2023
Geografia,Relacioneu aquests Parlaments o Càmeres de Diputats amb l'estat sobirà al qual pertanyen,"Canadà, Alemanya, Argentina, Suècia",11/04/2023
Miscelània,"Quina peça de roba íntima femenina que es va popularitzar, en la seua denominació anglosaxona, pel títol d'una pel·lícula de 1956 dirigida per Elia Kazan, té el mateix nom que una antiga regió del nord de França?",Picardía,11/04/2023
Temes valencians,Amb quin nom coneixem una varietat d'una espècie arbòria de la família de les ebenàcies que va ser enregistrat com a marca pel Consell Regulador d'una Denominació d'Origen del País Valencià?,Persimon,11/04/2023
Ciència,"Amb quin nom es coneix popularment la mescla dels herbicides àcid 2,4-diclorofenoxiacètic i àcid 2,4,5-tricolorofenoxiacètic, que va ser utilitzat a un país asiàtic entre 1962 i 1971?",Agente Naranja,18/04/2023
Ciència,"Quin tipus d'animal és Tux, mascota oficial creada el 1996 pel programador Larry Ewing per a un projecte iniciat a principis dels anys 1990 i que s'utilitza actualment en tot el món?",Pingüí,18/04/2023
Cine i música,Quin instrument musical s'anomena a partir del cognom d'un físic rus que el va patentar l'any 1928 després que Lenin l'encarregara viatjar arreu del món per demostrar l'última tecnologia soviètica?,Theremin,18/04/2023
Esports,"Quina competició no esportiva va tindre lloc als Jocs Olímpics des de 1912 fins a 1948, i va ser eliminada el 1954 a causa de l'exigència de que les persones participants havíen de ser professionals mentre que els esportistes podíen ser aficionats?",Art,18/04/2023
Geografia,"Digueu sis estats sobirans de l'hemisferi sud que formen part de l'AOSIS, l'Aliança de Petits Estats Insulars","Comoras, Mauricio, Seychelles, Santo Tomé y Príncipe, Timor Oriental, Maldivas, Islas Salomón, Fiyi, Nauru, Papúa Nueva Guinea, Samoa, Tonga, Tuvalu, Vanuatu, Kiribati",18/04/2023
Història,"El nom de quin objecte que s'utilitza habitualment en alguns àmbits concrets deriva, tant en valencià com en castellà, d'una paraula italiana que a la seua vegada prové del gentilici d'uns mercenaris europeus que arribaren a França en la segona meitat del segle XVII i que portaven en la seua vestimenta un element característic que posteriorment va ser adoptat a tota Europa?","Corbata (croats, de l'italià corvatta o cravatta)",18/04/2023
Miscelània,"Amb quin nom, que també apareix en el d'un grup britànic amb cantant femenina fundat el 1976 i en el títol d'una pel·lícula estrenada en 2023, es coneix en el folklore irlandés a uns esperits femenins que anuncien amb els seus plors la mort imminent d'alguna persona?",Banshees,18/04/2023
Temes valencians,"Quin personatge nascut a Morella a finals del segle XIII, i que es considera una de les figures més importants de la resistència foral valenciana, té una estàtua en un lloc prominent de la ciutat de València des de 1983?",Francesc de Vinatea,18/04/2023
Ciència,"Quina unitat del Sistema Internacional d'Unitats va estar relacionada amb un aliatge de platí i iridi entre 1889 i 2019, moment a partir del qual la seua definició va passar a estar lligada a la constant de Planck?",Kilogram,25/04/2023
Ciència,Relacioneu aquests déus egipcis amb l'animal amb el qual s'identifiquen,"Sobek - Cocodril, Jepri - Escarabat, Tueris - Hipopòtam, Nejbet - Voltor",25/04/2023
Cine i música,"Amb quina paraula, que prové d'un mot francès que té a veure amb un dels cinc sentits, coneixem a les artistes que, des de finals del segle XIX, s'han dedicat a entretenir i captivar el públic generalment en espectacles nocturns?",Vedette,25/04/2023
Esports,"Quantes estreles hi ha al logo dels Philadelphia 76ers de l'NBA, número que està relacionat també amb el nom de l'equip?",13,25/04/2023
Geografia,Digueu cuatre personatges històrics que donen nom en l'actualitat a aeroports de l'estat espanyol,"Adolfo Suárez (Madrid), Miguel Hernández (Alacant-Elx), César Manrique (Lanzarote), Federico García Lorca (Granada-Jaén), Josep Tarradellas (Barcelona), Rosalía de Castro (Santiago), Seve Ballesteros (Santander)",25/04/2023
Història,"Quin sacerdot del deu Apol·lo, que va ser atacat juntament amb els seus fills per serps gegants enviades pels deus, va quedar immortalitzat en un famós conjunt escultòric realitzat per Atenodoro, Agesandro  i Polidoro de Rodas?",Laocoonte,25/04/2023
Miscelània,"Quin era el cognom de casada de Marie Grosholtz, escultora nascuda a Estrasburg el 1761 i que té un edifici amb el seu nom al carrer Marleybone Road de Londres des de 1835?",Tussaud,25/04/2023
Temes valencians,"Quin eclesiàstic, nascut el 1858 i responsable de la coronació de la Verge dels Desemparats com a patrona de València el 1923, té un carrer a la ciutat que inclou els codis postals 46009, 46010, 46019 i 46020?",Primat Reig,25/04/2023
Ciència,"Quina tecnologia, que té els seus orígens a mitjans del segle XIX amb les aportacions d'Alexander Bain, Frederick Bakewell o Giovanni Caselli, va ser molt popular en la segona meitat del segle XX i, tot i que ara està en desús, encara s'utilitza amb fins legals perquè no pot ser intervinguda ni hackejada?",Fax,2/05/2023
Ciència,"Quina malaltia causada per paràsits del gènere Plasmodium, que podria haver-se transmés als humans a través dels goril·les fa més de 50.000 anys, és definida indistintament per una paraula d'origen llatí i per una altra que prové de l'italià medieval?",Paludisme o malària,2/05/2023
Art i literatura,"Digueu tres dels cinc llibres que formen el Pentateuc, els primers llibres de la Bíblia que també formen la Torà jueva","Gènesi, Èxode, Levític, Nombres, Deuteronomi",2/05/2023
Geografia,"Quina ciutat va ser la capital de la República Partenopea, un estat que només va existir entre el 21 de gener i el 13 de juny de 1799, i que devia el seu nom a la primera fundació d'aquesta ciutat al segle VII aC?",Nàpols,2/05/2023
Història,Relacioneu aquests emperadors romans amb la dinastia a la qual pertanyien,"Còmmode-Antonina, Tiberi-Julio-Clàudia, Vespasià-Flàvia",2/05/2023
Miscelània,"Quina corporació, que es va donar a conèixer per primera vegada als Estats Units als anys 1940, té un nom que prové d'una paraula grega que, paradoxalment, significa «l'apogeu» o «el punt més alt on es pot arribar»?",ACME,2/05/2023
Esports,Digueu quatre jugadors que hagen disputat almenys 200 partits amb la selecció espanyola masculina d'handbol,"Raúl Entrerríos, David Barrufet, José Javier Hombrados, Viran Morros, Lorenzo Rico, Juan Francisco Muñoz Melo, Alberto Entrerríos, Mateo Garralda, Eugeni Serrano, Javier Cabanas, Joan Cañellas, Demetrio Lozano, Juanín García, Enric Masip, Julen Aguinagalde, Juancho Pérez, Iker Romero",2/05/2023
Temes valencians,"Quines nimfes de la mitologia grega, protagonistes d'un dels dotze treballs d'Hèrcules, donen nom a un jardí de 4.700 metres quadrats a la ciutat de València?",Hespèrides,2/05/2023
Ciència,"Quina substància, mescla d'una matriu orgànica de biopolímers elàstics de conquiolina i de plaques inorgàniques de carbonat de calci cristal·litzat, prové d'un important fílum d'invertebrats i s'utilitza en joieria i decoració?",Nàcar o Madreperla,9/05/2023
Ciència,"Quina màquina, que porta el nom d'un famós científic de l'antiguitat clàssica tot i que probablement ja va ser coneguda molt abans en l'antic Egipte, s'utilitza per a bombar i elevar aigua o altres materials que es troben excavats a terra?",Tornillo de Arquímedes,9/05/2023
Cine i música,Ordeneu aquestes franquícies de cine d'acció per nombre de pel·lícules,Rocky (8)-Transformers (7)-Terminator (6)-Junga de cristal (5),9/05/2023
Geografia,"Quina ciutat actual es troba a les faldes del Cerro Rico, muntanya on segons la llegenda una nit de 1545 un pastor anomenat Diego Huallpa va descobrir unes vetes d'argent que han provocat que el nom d'eixa ciutat s'associe a la riquesa i l'opulència?",Potosí,9/05/2023
Història,"Quin accident geogràfic natural marcava, des del segle II aC, la frontera entre Itàlia i la província de la Gàl·lia Cisalpina, l'encreuament de la qual va ser la causa de la segona guerra civil de la República Romana l'any 49 aC?",Riu Rubicón,9/05/2023
Miscelània,"Amb quin terme, que hui en dia utilitzem amb connotacions negatives, es coneixia en l'antiguitat clàssica al sacrifici religiós de cent bous per tal de buscar el favor dels déus?",Hecatombe,9/05/2023
Esports,Digueu quatre pilots no europeus que hagen guanyat almenys una vegada el campionat del món de Fórmula 1,"Juan Manuel Fangio (Arg), Jack Brabham, Alan Jones (Aus), Nelson Piquet, Ayrton Senna, Emerson Fitipaldi (Bra), Denny Hulme (Nzl), Phil Hill, Mario Andretti (USA), Jody Scheckter (Zaf), Jacques Villeneuve (Can)",9/05/2023
Temes valencians,Relacioneu aquests mercats ambulants de la ciutat de València amb el dia de la setmana en el qual tenen lloc,"Algirós-Dilluns, Cabanyal-Dijous, Benicalap-Dissabte",9/05/2023
Ciència,"Quin era el cognom de l'enginyer civil que, juntament amb Robert Simpson, va desenvolupar el 1969 una escala que classifica els ciclons tropicals segons la intensitat del vent?",Herbert Saffir,16/05/2023
Ciència,"Quina planta de la família de les solanàcies, amb una arrel bifurcada que li dona un aspecte característic, dona nom a un disc editat a l'estat espanyol en 1981 i té incidència en l'argument d'una de les pel·lícules de la saga de Harry Potter?",Mandràgora,16/05/2023
Art i literatura,"Digueu tres noms propis, a banda del nom del protagonista, que apareguen en el títol d'un dels àlbums de Les aventures de Tintín","Ottokar, Rackham el Rojo, Tornasol, Castafiore",16/05/2023
Geografia,"Quina plaça d'una capital americana, anteriorment anomenada Plaza Santa Cecilia, va ser rebatejada en 1920 amb el cognom d'un personatge que va participar en un important esdeveniment d'eixe país entre 1910 i 1917, tot i que era originari d'un altre continent i descendent d'un important personatge històric del segle XIX?",Plaza Garibaldi,16/05/2023
Història,"En quina província actual de l'estat espanyol es troba un municipi que va ser fundat per Elvira i Estefanía Nazareno, que estaven emparentades amb un noble lleonés al qual li van ser atorgades eixes terres pel rei Ferran III de Castella al segle XIII?",Sevilla (Dos Hermanas),16/05/2023
Miscelània,"Quina maquinària, dissenyada pel metge Antoine Louis, i que consta, entre d'altres, de parts anomenades «chapeau», «mouton» o «fenêtre», va ser utilitzada a Europa des de finals del segle XVIII fins a 1977?",Guillotina,16/05/2023
Esports,"Ordena, des de l'exterior cap a l'interior, els colors de la diana de tir amb arc olímpic",Blanc-Negre-Blau-Roig-Groc,16/05/2023
Temes valencians,Relacioneu aquestes festes tradicionals del País Valencià amb la localitat on se celebren,"Els Enfarinats-Ibi, Els Pelegrins-Les Useres, Els Negrets-L'Alcúdia, Festa de la Cirera-Serra",16/05/2023
Ciència,Relacioneu els següents tipus de núvols amb la imatge corresponent,"1-Estratus, 2-Nimboestratus, 3-Cirrus, 4-Cúmul",23/05/2023
Ciència,"Quin teixit conjuntiu del cos humà, amb funció protectora, està compost per tres capes que s'anomenen Duramàter, Piamàter i Aracnoide?",Meninges,23/05/2023
Art i literatura,Quina localitat de Castella-la Manxa és coneguda pel nom amb el qual va passar a la història un eclesiàstic nascut probablement en Alcalá de Henares i autor d'un important llibre escrit en la primera meitat del segle XIV?,Hita,23/05/2023
Geografia,"Amb quin nom va ser coneguda, a partir de 1407, l'actual ciutat europea de Naupacte, lloc on el 7 d'octubre de 1571 va tindre lloc un esdeveniment que va provocar la mort d'aproximadament 50.000 persones?",Lepanto,23/05/2023
Història,"Quina dinastia reial en quatre regnes diferents, branca menor de la Casa de Borgonya, va prendre el seu nom d'un comtat que etimològicament significa que estava «més enllà» d'un riu que discorre pel nord-oest de l'actual Galícia?",Trastàmara,23/05/2023
Miscelània,"Quina associació, fundada a Londres el 1844 per Sir George Williams, motivat per les dures condicions de treball de la Revolució Industrial, va popularitzar el seu nom per una cançó de 1978 d'un grup dels EUA que va rebre una demanda per part d'aquesta associació?",YMCA,23/05/2023
Esports,Ordena per la seua llargària els següents elements esportius,Billar (150 cm) - Golf (115 cm) - Beisbol (106 cm) - Hoquei (97 cm),23/05/2023
Temes valencians,"Quin municipi, amb un dels noms més curts de la toponímia valenciana, va pertànyer a la província de Múrcia després de la reforma administrativa de Javier de Burgos de 1833, però va ser incorporat a la província d'Alacant en 1836?",Sax,23/05/2023
Ciència,"Quin element químic, anomenat a partir d'un mot grec que fa referència a la seua inactivitat, és el tercer element més present en l'atmosfera terrestre, encara que amb aproximadament el 0,93% del seu volum?",Argón,30/05/2023
Ciència,"Amb quin metge bàvar es va reunir, el 25 de novembre de 1901, una pacient anomenada Auguste Deter, a la qual el seu marit va portar a l'hospital després d'observar canvis dràstics en el seu comportament durant l'últim any?",Alois Alzheimer,30/05/2023
Cine i música,Relacioneu aquests hospitals de ficció amb la sèrie a la qual pertanyen,"Princeton-Plainsboro - House, Sacred Heart-Scrubs, Seattle Grace-Anatomía de Grey, County General - Urgencias",30/05/2023
Geografia,"Ordeneu, de nord a sud, aquestes regions de Portugal",Bragança-Aveiro-Coïmbra-Setúbal,30/05/2023
Història,"Quina paraula, que hui és definida per la RAE com la persona que defensa les idees o propostes d'un moviment o col·lectiu, era utilitzada a l'edat mitjana a partir d'un terme àrab per a designar a aquell que mostrava el camí als exèrcits abans d'una batalla?",Adalid,30/05/2023
Miscelània,"Quin sistema, desenvolupat per un enginyer suís en la dècada de 1950, i que actualment es coneix amb un nom enregistrat com a marca comercial, va ser anomenat pel seu creador a partir de la unió de dues paraules franceses que denominen les parts per les quals es compon?",Velcro,30/05/2023
Esports,"Amb quin apel·latiu, que també s'utilitza en altres àmbits jurídics com el Tribunal de les Aigües, es coneix en pilota valenciana a la persona que no pren part per cap dels jugadors o jugadores i decideix el punt en cas de conflicte o polèmica?",Home bo,30/05/2023
