CATEGORIA,PREGUNTA,RESPOSTA,DATA
Història,"L'estàtua de quin personatge històric es troba al pol d'inaccesibilitat del Pol Sud, el punt de l'Antàrtida més allunyat de l'oceà?",Lenin,21/03/2023
Temes valencians,Digueu tres dels cinc rius de major longitud el curs dels quals discorre íntegrament pel territori del País Valencià,"Vinalopó, Palància, Serpis, Cervol, Gorgos",21/03/2023
Ciència,"Quina part del cos humà, el nom de la qual està relacionat, tant en grec com en llatí, amb la duresa, està composada, entre d'altres, per l'estrat de Bowman, la capa de Dua o la membrana de Descemet?",Còrnia,28/03/2023
Ciència,"Quina beguda, que rep el seu nom de la localitat d'on és originària, s'obté a partir del destil·lat de només una espècie concreta de planta del gènere Agave?",Tequila,28/03/2023
Art i literatura,"Quin escriptor, que també va treballar com a publicista, va crear als anys 1920 el primer eslogan de la marca Coca-Cola per introduir-la al seu país, tot i que finalment no arribà a comercialitzar-se per considerar que l'eslogan suggeria que era una beguda adictiva?","Fernando Pessoa (primer s'estranya, després s'entranya)",28/03/2023
Miscelània,"Amb quin terme es defineix la peça metàl·lica fixada a l'armadura on se subjectava l'empunyadura de la llança, i que ha passat a l'ús popular i figurat després d'aparèixer al famós episodi del Quixot on el protagonista es disposa a lluitar contra uns molins de vent pensant que eren gegants?",Ristre,28/03/2023
Esports,Digueu cinc jugadors nascuts al continent europeu que tinguen retirada la seua samarreta en un equip de l'NBA,"Drazen Petrovic, Zydrunas Ilgauskas, Dirk Nowitzki, Tom Meschery, Pau Gasol, Peja Stojakovic, Vlade Divac, Tony Parker",28/03/2023
Geografia,"Quina muntanya, coneguda actualment amb un nom derivat de l'anotació utilitzada en el Gran Projecte de Topografia Trigonomètrica del segle XIX, es denomina encara en alguns mapes com Godwin-Austen en honor a un explorador europeu de la zona?",K2,28/03/2023
Història,"L'himne de quin estat sobirà va ser compost per Charles Gounod el 1869 per a celebrar el 25é aniversari de l'arribada al poder del cap d'estat d'eixe moment, però no va ser declarat oficial fins el 1949 per un cap d'estat que compartia nom amb l'anterior?",Himno y marcha pontificia de Ciudad del Vaticano (Pío IX i Pío XII),28/03/2023
Temes valencians,"Quin era el malnom, provinent del seu municipi natal, de María Pérez Lacruz, militant anarquista i última dona afusellada per la dictadura franquista al País Valencià, i protagonista d'un còmic de Cristina Durán i Miquel Àngel Giner Bou publicat aquest 2023?",María la Jabalina,28/03/2023
Miscelània,"Quin personatge fictici, que té el seu origen més probable en un conte francés del segle XVIII, va ser popularitzat a l'estat espanyol gràcies a un conte escrit cap a 1894 pel jesuïta Luis Coloma Roldán i dedicat al futur rei Alfons XIII?",Ratoncito Pérez,4/04/2023
Miscelània,"Quina expressió traduïda del llatí, que en realitat només va ser recollida una vegada per Suetoni en l'any 52 dC durant una naumàquia organitzada per l'emperador Claudi, ha passat a la cultura popular a través d'altres esdeveniments presents, per exemple, en dues famoses pel·lícules de 1960 i 2000?","Ave Cèsar, els que van a morir et saluden",4/04/2023
Ciència,"Com es diu la sonda espacial de la NASA, dotada amb un disc de diamants sintètics, que va ser llançada en 2021 per a estudiar cinc asteroides troians de Júpiter que podrien revelar fòsils de formació de planetes?",Lucy,4/04/2023
Ciència,Quin era el cognom de l'anestesiòloga estatunidenca que va publicar el 1953 un mètode per valorar la viabilitat del nounat a partir de cinc paràmetres fisioanatòmics?,Apgar,4/04/2023
Esports,Quins són els tres animals que apareixen en els escuts dels equips de la primera divisió de futbol masculí en la temporada 2022-23?,"Atlètic de Madrid (Os), València CF (Rata penada), Osasuna i Cadis (Lleó)",4/04/2023
Geografia,"Quin castell de ficció va inspirar la seua arquitectura en el Palau de Neuschwanstein, construït pel rei Lluís II de Baviera el 1869 i un dels destins turístics més populars del seu país?",Castell Disney,4/04/2023
Història,"Quin nom genèric, que podria derivar del color brut del seu hàbit, rebien les associacions medievals de dones que es dedicaven a ajudar els malalts i desemparats, sense una regla comuna i sense fer cap vot de castedat o clausura o pertànyer a cap orde religiós, motiu pel qual van ser perseguides i condemnades a principis del segle XIV?",Beguines,4/04/2023
Temes valencians,"Quin producte per al camp es va fer famós en la primera meitat del segle XX gràcies a uns cartells publicitaris, que encara existeixen en diverses comunitats autònomes, dissenyats sobre uns panells ceràmics realitzats en la fàbrica El Siglo de València entre 1929 i 1937?",Nitrato de Chile (Nitrato de Sodio NaNO3),4/04/2023
Miscelània,"Quin objecte d'ús quotidià, que coneixem pel cognom del seu inventor, va ser creat per una persona nascuda a New Hampshire el 1907 que va investigar les múltiples propietats dels polímers, especialment el polietilè?",Tupperware,11/04/2023
Miscelània,"Quina important empresa audiovisual, filial de Sony, utilitza des de 1991 per al seu logo una pintura basada en una fotografia real de Jenny Joseph, mestressa de casa amiga de la fotògrafa guanyadora del premi Pulitzer Kathy Anderson?",Columbia Pictures,11/04/2023
Ciència,"Com s'anomena l'ordre de mamífers, que inclou només l'ornitorrinc i l'equidna, que es caracteritza per retenir característiques primitives com la presència de cloaca, un únic orifici on conflueixen el tracte digestiu, urinari i reproductor, fet que dona nom a aquest ordre?",Monotremes,11/04/2023
Ciència,"Com es coneix en geometria al politop regular que és l'anàleg en quatre dimensions del cub, i que com a objecte fictici té una gran importància en la franquícia cinematogràfica més taquillera de tots els temps?",Teseracte,11/04/2023
Esports,"En quin barri d'una capital europea, que rep el seu nom de l'últim emperador del Sacre Imperi Romanogermànic, juga l'equip de futbol amb més títols nacionals i internacionals del seu país?",Ferencvaros,11/04/2023
Geografia,Classifiqueu aquestes ciutats segons es troben a l'est o a l'oest del riu Mississippi,"Est - Indianapolis, Nashville, Louisville; Oest - Tulsa, Kansas City",11/04/2023
Història,"Quants són els Objectius de Desenvolupament Sostenible de l'Agenda 2030, que coincideix amb el nombre de colors que apareixen al seu logo?",17,11/04/2023
Temes valencians,"Qui va ser la primera persona en obtenir el títol de Duc de València, atorgat per la reina Isabel II l'any 1847 com a recompensa per derrotar a les tropes del general Espartero?",Ramón María Narváez,11/04/2023
Cine i música,"Quin personatge de ficció, que va aparèixer per primera vegada en una novel·la publicada el 1969, va ser el primer que li va valdre un Oscar a dos actors diferents, que posteriorment coincidirien en una pel·lícula de 2001 que va ser l'última estrenada per un d'ells abans de morir?",Vito Corleone,18/04/2023
Miscelània,Digueu cinc franquícies de videojocs que hagen venut més de 200 milions de còpies en tot el món,"Mario/Super Mario, Tetris, Pokemon, Call of Duty, Grand Theft Auto, FIFA, Minecraft, Wii, Lego, The Sims, Assassin's Creed",18/04/2023
Ciència,Identifiqueu aquests tipus de cavalls per la seua coloració,"1-Ruà, 2-Pampa, 3-Bai, 4-Alatzà",18/04/2023
Ciència,"Quins éssers vius, que només es troben en una franja de terra d'uns 750 kilòmetres de llargària i 50 kilòmetres d'amplària, reben el seu nom a partir del d'un plater nascut a finals del segle XVIII que, no obstant això, mai va viure en aquella zona?",Sequoies,18/04/2023
Esports,Relacioneu aquests equips argentins del futbol amb el seu malnom,"Rosario Central - Canallas, San Lorenzo - Cuervos, Newell's - Leprosos, Estudiantes - Pincharratas",18/04/2023
Geografia,"Quina illa, la més gran del seu país encara que només l'habiten unes 15.000 persones, va ser descoberta al segle XVI pel navegant anglès Martin Frobisher, tot i que rep el seu nom actual a partir d'un altre navegant anglès que va explorar la seua costa oriental a principis del segle XVII?",Baffin,18/04/2023
Història,"Amb quina denominació, que significa «bombarder en picat» en la seua llengua original, van ser més coneguts els avions Junkers Ju 87, que es van utilitzar per primera vegada en la Guerra Civil Espanyola i foren molt populars durant la Segona Guerra Mundial?",Stuka,18/04/2023
Temes valencians,"Quina manifestació cultural, creada per un oftalmòleg polonés a finals del segle XIX, es troba molt arrelada a la localitat valenciana de Xest, on encara la practiquen prop de 200 persones?",Esperanto,18/04/2023
Cine i música,"Quina sèrie, que es va emetre als EUA entre 1982 i 1986, estava protagonitzada per un policia infiltrat en una investigació d'espionatge industrial que va quedar desfigurat i donat per mort, i posteriorment va tractar de venjar-se com a membre de la Fundació per a la Llei i l'Ordre amb l'ajuda de Devon Miles i Bonnie Barstow?",El cotxe fantàstic,25/04/2023
Miscelània,Identifiqueu aquests nusos amb la seua imatge corresponent,"1-Ballestrinca, 2-As de guia, 3-Papallona, 4-Lasca",25/04/2023
Ciència,"Quin mineral, una part del nom del qual deriva del llatí i l'altra de l'àrab clàssic a través del persa i del sànscrit, va ser un dels més utilitzats a l'edat mitjana i el Renaixement per a extraure un característic pigment a partir de la seua pols?",Lapislázuli,25/04/2023
Ciència,"Amb quina marca comercial es coneix el medicament, introduït a l'estat espanyol als anys 1930 pel químic José Antonio Serrallach Julià, i molt popular en les dècades següents, que conté un compost amb fórmula C H Br HgNa O que només difereix en una lletra del nom comercial?",Mercromina,25/04/2023
Esports,Ordeneu aquests esports pel nombre de jugadors per equip,Futbol australià (18) - Criquet (11) - Bèisbol (9) - Korfbal (8),25/04/2023
Geografia,"Quin topònim d'origen saxó, que significa «llar apartada», apareix com a sufix en algunes localitats del Regne Unit i dona nom també a una zona de l'estat de Nova York coneguda per ser un lloc de vacances per als estatunidencs més rics?",Hampton,25/04/2023
Història,"Quin rang militar exclusiu de l'estat espanyol que va ser creat durant la Guerra Civil per tal de suplir la manca d'oficials que hi havia en eixe moment, té des de 1965 un monument prop del Casón del Buen Retiro a Madrid que va ser retirat i posteriorment reinstaurat pel govern de Manuela Carmena i vandalitzat a principis d'aquest 2023?",Alférez provisional,25/04/2023
Temes valencians,Digueu cinc partits polítics o coalicions que hagen tingut representació a Les Corts des de les eleccions de 1983 i que en l'actualitat ja no la tinguen o la tinguen amb sigles o denominacions diferents,"Compromís pel País Valencià (CPV), Podemos, Esquerra Unida (EUPV), Esquerra Unida-L'Entesa, Esquerra Unida-Els Verds, Unió Valenciana (UV), Alianza Popular, Centro Democrático y Social (CDS), Unitat del Poble Valencià (UPV), Partido Demócrata Popular (PDP), Unión Liberal (UL), Partit Comunista d'Espanya (PCE), Partit Comunista del País Valencià (PCPV)",25/04/2023
Cine i música,"Quin era el nom del pagès occità que va capitanejar la Revolta dels Crocants contra el rei Lluís XIV el 1643 i condemnat al suplici de la roda, motiu que va inspirar que protagonitzara una coneguda cançó infantil?",Joan Petit,2/05/2023
Miscelània,"Amb quina paraula d'origen francès ens referim al lloc d'un local d'espectacles on es serveixen begudes i aliments, i que també va donar nom a un programa de Radio 3 presentat per Diego Manrique entre 1992 i 2010?",Ambigú,2/05/2023
Ciència,"Quin era el cognom del químic, nascut a l'actual Alemanya el 1811, que a més de descobrir el cesi i el rubidi, va introduir el 1855 un important instrument de laboratori que s'utilitza per a calfar i esterilitzar mostres o reactius químics?",Bunsen,2/05/2023
Ciència,"Amb quin nom, que deriva de la denominació grega per referir-se a les llebres, es coneix l'orde de mamífers placentaris al qual pertany el conill, i que fins a principis del segle XX s'havia inclòs dins de l'orde dels rosegadors?",Lagomorfs,2/05/2023
Geografia,Digueu sis estats sobirans en el quals tant el seu nom com el de la seua capital tinguen cinc o menys lletres,"Butan-Timbu, Catar-Doha, China-Pekín, Fiyi-Suva, Ghana-Acra, Japón-Tokio, Nauru-Yaren, Perú-Lima, Rusia-Moscú, Samoa-Apia, Suiza-Berna, Togo-Lomé, Túnez-Túnez, Yemen-Saná",2/05/2023
Història,Ordeneu cronològicament aquests presidents del Poder Executiu de la Primera República Espanyola,Figueras-Pi i Margall-Salmerón-Serrano,2/05/2023
Esports,"Quin club de futbol, originàriament fundat per una gran companya automobilística en una ciutat portuària que és la segona més poblada del seu país, és un dels clubs més importants de la seua lliga, de la qual va ser membre fundador l'any 1992 i actual campió?",Yokohama Marinos,2/05/2023
Temes valencians,"Quin grup musical valencià, en actiu des de 2005, ha inclòs en el títol d'alguns dels seus discs referències a un moviment polític-religiós asiàtic, a l'antiga capital de Vietnam del Sud i a una regió del nord-est de Nou Mèxic i l'oest de Texas?",Los Chikos del Maíz,2/05/2023
Art i literatura,"Quin va ser el llibre més famós encarregat a principis de 1847 per una societat secreta que fins uns mesos abans era coneguda com la Lliga dels Justos, i que va canviar el seu nom en consonància amb l'esmentada publicació?",El Manifest Comunista,9/05/2023
Cine i música,Relacioneu aquestes bandes de Kpop amb la seua imatge corresponent,"1-Tomorrow X Together, 2-Aespa, 3-Blackpink, 4-BTS",9/05/2023
Ciència,Ordeneu aquests estats sobirans pel nombre de guardonats amb el premi Nobel de Física,EUA (90)-Alemanya (26)-Regne Unit (23)-França (14),9/05/2023
Ciència,"Amb quin nom, que té relació amb un personatge d'uns textos medievals sobre la història llegendària de les illes britàniques, i que també és el títol d'una pel·lícula de Werner Herzog de 1969, es coneix el fenomen natural que, a causa d'una inversió de temperatura, produeix un efecte pel qual els objectes situats a l'horitzó semblen estar flotant en l'aire?",Fata Morgana,9/05/2023
Geografia,Digueu dos estats sobirans membres de l'ONU que no estiguen reconeguts per almenys un estat sobirà membre de l'ONU,"Armenia (Pakistan), Chipre (Turquía), Corea del Nord (Corea del Sud, Japó), Corea del Sud (Corea del Nord), Israel (28 paisos), Xina (els que reconeixen a Taiwan)",9/05/2023
Història,"Quins dos pobles de cultura celta, que van ocupar el centre de la península Ibèrica des del segle VI aC fins a ser assimilats pels romans, donen nom a un adjectiu que defineix una persona o idea que es té per espanyola en la seua màxima expressió?",Carpetans i vetons,9/05/2023
Esports,"Quin terme, avui relacionat amb un esport en concret, prové de la degeneració del nom que rebien els patges de la cort de la reina Maria I d'Escòcia al segle XVI?",Caddie,9/05/2023
Temes valencians,"Quina muntanya de la província d'Alacant, que dona nom a la serralada on està situada, rep la seua denominació a partir de la paraula íbera que significa «aigua», tot i que després de la cristianització es va traduir fonèticament amb el nom d'un valuós mineral?","Cabeçó, d'Or",9/05/2023
Art i literatura,"De quin personatge literari, que va aparèixer per primera vegada el 1914, es deia que era «xicotet, pelut, suau; tan tou per fora que es diria tot de cotó»?",Platero,16/05/2023
Miscelània,"Segons una versió mai totalment confirmada, en quina ciutat europea es trobava Friedrich Nietzsche el 3 de gener de 1889 quan va ser testimoni d'una situació que li va provocar un col·lapse mental i un estat de bogeria del que mai es va recuperar fins a la seua mort l'any 1900, història que també dona títol a una pel·lícula de Béla Tarr i Ágnes Hranitzky estrenada en 2011?",Torí,16/05/2023
Ciència,Ordeneu aquests prefixes del Sistema Internacional per la grandària de la magnitud que designen,"Quetta (10e30), Ronna (10e27), Zetta (10e21), Peta (10e15)",16/05/2023
Ciència,"Quin era el nom de l'agrònom anglès, que va viure entre 1672 i 1741 i va ser l'inventor d'una màquina sembradora de tracció animal, que va inspirar a un agent musical aficionat a la història per a batejar un grup de rock progressiu de gran èxit als anys 1970?",Jethro Tull,16/05/2023
Geografia,Digueu cinc estats sobirans del món que tinguen qualsevol classe d'au en la seua bandera,"Albània, Dominica, Ecuador, Egipte, Fiyi, Guatemala, Haití, Kazajistán, Kiribati, Mèxic, Moldàvia, Montenegro, Papúa Nova Guinea, Sèrbia, Uganda, Zàmbia, Zimbabue",16/05/2023
Història,"Quin nom donaren els europeus a la ciutat africana de Rashid, lloc on es va fer una important troballa arqueològica el 15 de juliol de 1799?",Rosetta,16/05/2023
Esports,"Quin club de futbol, el qual és l'equip amb més títols del seu país, rep el seu nom a partir del d'un cap tribal que té un paper destacat en un famós poema èpic d'Alonso de Ercilla que es va publicar en la segona meitat del segle XVI?",Colo Colo,16/05/2023
Temes valencians,"Quin títol nobiliari va ser atorgat per Alfons XIII, per la promoció i execució de l'Exposició Regional de 1909, al net d'un industrial d'origen irlandés que es va instal·lar a València a principis del segle XIX en un edifici que hui és la seu de la societat Lo Rat Penat?",Marqués del Túria,16/05/2023
Cine i música,"Digueu tres persones que hagen guanyat l'EGOT (Emmy, Grammy, Oscar i Tony), els quatre premis més importants de l'indústria de l'entreteniment als Estats Units","Richard Rodgers, Helen Hayes, Rita Moreno, Andrew Lloyd Webber, Audrey Hepburn, Marvin Hamlisch, Jonathan Tunick, Mel Brooks, Mike Nichols, Whoopi Goldberg, Scott Rudin, Robert Lopez, John Legend, Barbra Streisand, Tim Rice, Alan Menken, Jennifer Hudson, Viola Davis, John Gielgud, James Earl Jones, Liza Minelli, Harry Belafonte, Quincy Jones",23/05/2023
Miscelània,"Quins dos estats sobirans, de continents diferents, protagonitzaren una anècdota de la guerra freda en la qual un d'ells va enviar una comanda de 1.000 automòbils l'any 1974 que l'altre mai va pagar, generant-se un deute que encara hui perdura i que ascendeix a més de 300 milions d'euros?",Volvo,23/05/2023
Ciència,Ordeneu els cinc sentits per l'ordre cronològic amb el qual es desenvolupen en l'ésser humà abans del moment del naixement,Tacte - Gust - Olfacte - Oïda - Vista,23/05/2023
Ciència,"Amb quin nom, que inclou un topònim, es coneix l'estructura anatòmica que els vertebrats superiors posseeixen a la base del crani i que allotja la hipòfisi i les meninges?",Sella turca,23/05/2023
Geografia,"Quin espai natural de l'estat espanyol, que als anys 1960 també va ser intervingut per convertir-lo en un centre cultural i artístic, té un nom que prové d'una llengua berber i es refereix a un forat que es produeix a conseqüència de l'afonament del sostre d'un tub volcànic?",Jameos del Agua,23/05/2023
Història,"Quin moviment polític té un himne anomenat Oriamendi, nom que va prendre d'una muntanya on tingué lloc una batalla l'any 1837 després de la qual els guanyadors adaptaren una marxa militar que l'exèrcit rival tenia preparada per a commemorar la seua victòria?",Carlisme,23/05/2023
Esports,"Quin esport, que té el seu origen a l'actual Iran i que va arribar a Europa en el segle XIX, compta actualment amb vora 1.500 jugadors professionals, la meitat dels quals són argentins, país que també és el que més vegades ha guanyat el campionat del món?",Polo,23/05/2023
Temes valencians,"Quin producte comercialitza una empresa valenciana fundada el 1881 i que té més de 30 establiments per tot el territori valencià, al qual es dedica un museu situat en una capital comarcal de la província d'Alacant on va ser fundada la marca?",Xocolate (Chocolates Valor),23/05/2023
